Day,Month,Year,Regulated,Natural
23,12,1926,7.713,8.908214669
24,12,1926,7.625,8.700404398
25,12,1926,7.493,8.465353648
26,12,1926,7.403,8.23827535
27,12,1926,7.316,8.053900409
28,12,1926,7.171,7.910661517
29,12,1926,7.021,7.798344077
30,12,1926,6.901,7.70952848
31,12,1926,6.908,7.637808127
1,1,1927,6.933,7.576379789
2,1,1927,6.771,7.522514555
3,1,1927,6.693,7.474140555
4,1,1927,6.633,7.429797238
5,1,1927,6.578,7.389017587
6,1,1927,6.535,7.351616912
7,1,1927,6.46,7.31733198
8,1,1927,6.403,7.285747352
9,1,1927,6.291,7.256515048
10,1,1927,6.268,7.229061427
11,1,1927,6.175,7.202511859
12,1,1927,5.988,7.177241753
13,1,1927,5.958,7.153703011
14,1,1927,5.902,7.13012382
15,1,1927,5.848,7.10628116
16,1,1927,5.816,7.082024934
17,1,1927,5.786,7.057576995
18,1,1927,5.75,7.025162056
19,1,1927,5.704,7.007503875
20,1,1927,5.694,6.98315
21,1,1927,5.666,6.958152822
22,1,1927,5.642,6.932734952
23,1,1927,5.64,6.907271384
24,1,1927,5.634,6.882366416
25,1,1927,5.606,6.858174544
26,1,1927,5.576,6.835154326
27,1,1927,5.54,6.813766995
28,1,1927,5.481,6.79493199
29,1,1927,5.419,6.779192
30,1,1927,5.392,6.767166367
31,1,1927,5.384,6.758788195
1,2,1927,5.362,6.757645342
2,2,1927,5.348,6.760388038
3,2,1927,5.298,6.770135648
4,2,1927,5.266,6.789915304
5,2,1927,5.242,6.820823779
6,2,1927,5.24,6.861654646
7,2,1927,5.24,6.909985654
8,2,1927,5.252,6.963035635
9,2,1927,5.302,7.017233595
10,2,1927,5.334,7.067793715
11,2,1927,5.352,7.111632632
12,2,1927,5.332,7.149627742
13,2,1927,5.324,7.185079011
14,2,1927,5.302,7.220069881
15,2,1927,5.294,7.254088419
16,2,1927,5.266,7.285380505
17,2,1927,5.242,7.311841155
18,2,1927,5.24,7.332474982
19,2,1927,5.234,7.347016589
20,2,1927,5.206,7.355777741
21,2,1927,5.182,7.359353555
22,2,1927,5.18,7.358404963
23,2,1927,5.18,7.353368998
24,2,1927,5.174,7.344460168
25,2,1927,5.152,7.331670713
26,2,1927,5.144,7.314477032
27,2,1927,5.151,7.291835551
28,2,1927,5.259,7.262836942
1,3,1927,5.288,7.230461214
2,3,1927,5.365,7.18936542
3,3,1927,5.435,7.14050958
4,3,1927,5.513,7.085896875
5,3,1927,5.52,7.030544862
6,3,1927,5.52,6.980599769
7,3,1927,5.52,6.939357022
8,3,1927,5.52,6.906894361
9,3,1927,5.526,6.883121752
10,3,1927,5.554,6.86868792
11,3,1927,5.584,6.864377614
12,3,1927,5.608,6.86967079
13,3,1927,5.622,6.883197283
14,3,1927,5.672,6.903199006
